,TOWN_ID,TOWN,COUNTY_ID,COUNTY,Rate
270,65000010,板橋區,65000,新北市,3
271,65000020,三重區,65000,新北市,2
272,65000030,中和區,65000,新北市,3
273,65000040,永和區,65000,新北市,3
274,65000050,新莊區,65000,新北市,3
275,65000060,新店區,65000,新北市,2
276,65000070,樹林區,65000,新北市,3
277,65000080,鶯歌區,65000,新北市,3
278,65000090,三峽區,65000,新北市,3
279,65000100,淡水區,65000,新北市,3
280,65000110,汐止區,65000,新北市,3
281,65000120,瑞芳區,65000,新北市,1
282,65000130,土城區,65000,新北市,3
283,65000140,蘆洲區,65000,新北市,3
284,65000150,五股區,65000,新北市,3
285,65000160,泰山區,65000,新北市,3
286,65000170,林口區,65000,新北市,3
287,65000180,深坑區,65000,新北市,3
288,65000190,石碇區,65000,新北市,0
289,65000200,坪林區,65000,新北市,0
290,65000210,三芝區,65000,新北市,1
291,65000220,石門區,65000,新北市,0
292,65000230,八里區,65000,新北市,2
293,65000240,平溪區,65000,新北市,0
294,65000250,雙溪區,65000,新北市,0
295,65000260,貢寮區,65000,新北市,0
296,65000270,金山區,65000,新北市,1
297,65000280,萬里區,65000,新北市,1
298,65000290,烏來區,65000,新北市,0
